strategy,config,runtime_ms,gflops,cost_estimate_ms
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0504418,41.5757,0.151823
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.058236,36.0113,0.151823
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0535512,39.1616,0.121665
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_1,0.480788,4.36191,0.121665
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_2,0.462195,4.53738,0.127748
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_2,0.44937,4.66687,0.127748
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_2,0.0684475,30.6388,0.127748
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_2,0.0560712,37.4016,0.127748
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_2,0.0545768,38.4257,0.127748
SimulatedAnnealing,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_2,0.222867,9.4099,0.127748
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_2,0.244287,8.5848,0.127748
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0572446,36.6349,0.121665
SimulatedAnnealing,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0556485,37.6857,0.121665
SimulatedAnnealing,split_d4_order_c-a-b-d0-d1_parallel_none_unroll_1,0.397053,5.28179,0.121665
SimulatedAnnealing,split_d4_order_c-a-b-d0-d1_parallel_none_unroll_2,0.403551,5.19675,0.127748
SimulatedAnnealing,split_d4_order_a-c-b-d0-d1_parallel_none_unroll_2,0.42399,4.94623,0.127748
SimulatedAnnealing,split_d4_order_a-c-b-d0-d1_parallel_none_unroll_1,0.412908,5.07898,0.121665
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0557089,37.6448,0.123332
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_1,0.471896,4.4441,0.123332
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0575944,36.4124,0.123332
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0572585,36.6261,0.145097
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0586076,35.7829,0.145097
SimulatedAnnealing,split_d1_order_c-a-b-d0-d1_parallel_none_unroll_1,0.471477,4.44805,0.145097
SimulatedAnnealing,split_d1_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0730094,28.7244,0.145097
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0699171,29.9949,0.123332
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_2,0.0749629,27.9759,0.129499
SimulatedAnnealing,split_d4_order_c-b-a-d0-d1_parallel_none_unroll_2,0.341956,6.13281,0.129499
SimulatedAnnealing,split_d4_order_c-a-b-d0-d1_parallel_none_unroll_2,0.449266,4.66796,0.129499
SimulatedAnnealing,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_2,0.223511,9.38275,0.129499
SimulatedAnnealing,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0524021,40.0204,0.123332
SimulatedAnnealing,split_d4_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0640715,32.7314,0.123332
SimulatedAnnealing,split_d4_order_c-b-a-d0-d1_parallel_none_unroll_1,0.070412,29.784,0.123332
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0560268,37.4312,0.123332
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0550651,38.085,0.129871
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0696456,30.1118,0.129871
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_2,0.0737273,28.4447,0.136365
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_2,0.407889,5.14147,0.136365
